filename,concentration
20240417_P5_Neo_ES75150_100gCurve_0perc_IL_50pep_PRM_2mz_60min_01.mzml,0
20240417_P5_Neo_ES75150_100gCurve_0pt01perc_IL_50pep_PRM_2mz_60min_01.mzml,0.01
20240417_P5_Neo_ES75150_100ngCurve_0pt1perc_IL_50pep_PRM_2mz_60min_01.mzml,0.1
20240417_P5_Neo_ES75150_100ngCurve_0pt3perc_IL_50pep_PRM_2mz_60min_01.mzml,0.3
20240417_P5_Neo_ES75150_100ngCurve_100perc_IL_50pep_PRM_2mz_60min_01.mzml,100
20240417_P5_Neo_ES75150_100ngCurve_10perc_IL_50pep_PRM_2mz_60min_01.mzml,10
20240417_P5_Neo_ES75150_100ngCurve_1perc_IL_50pep_PRM_2mz_60min_01.mzml,1
20240417_P5_Neo_ES75150_100ngCurve_30perc_IL_50pep_PRM_2mz_60min_01.mzml,30
20240417_P5_Neo_ES75150_100ngCurve_3perc_IL_50pep_PRM_2mz_60min_01.mzml,3
